Movie_name,Rating,Votes,Duration,genre
The Notorious Finster,4.0, (182),1h 53m,horror
They Call Her Death,5.4, (210),1h 32m,horror
Mountain Shark,3.3, (141),1h 21m,horror
From Darkness,4.9, (595),1h 35m,horror
Killer Body Count,4.7, (685),1h 49m,horror
12 to Midnight,3.6, (300),1h 36m,horror
Last Stop: Rocafort St.,4.1, (502),1h 29m,horror
Protein,6.7, (76),1h 40m,horror
Do Not Enter,5.3, (667),1h 25m,horror
The Stalking,3.6, (52),1h 12m,horror
Mother Father Sister Brother Frank,5.8, (294),1h 25m,horror
Sam and Colby: The Legends of the Paranormal,4.9, (317),1h 38m,horror
Model House,4.0, (1.1K),1h 25m,horror
Witch,4.9, (1.4K),1h 47m,horror
Cellphone,3.0, (750),1h 28m,horror
Thaghut,5.8, (332),1h 42m,horror
Blood Debt,5.5, (201),1h 40m,horror
Five Friends,6.7, (983),1h 52m,horror
Witch Hunter,4.6, (27),1h 20m,horror
Sattam En Kaiyil,7.9, (2.3K),2h 4m,horror
Animale,5.9, (336),1h 38m,horror
Hauntology,3.7, (371),1h 43m,horror
Pechi,5.5, (1.5K),1h 50m,horror
Cora,4.5, (948),1h 44m,horror
Freelance,4.8, (386),1h 50m,horror
Geethanjali Malli Vachindi,4.8, (2.2K),2h 24m,horror
Butchers Book Three: Bonesaw,4.8, (125),1h 47m,horror
Exorcism Chronicles: The Beginning,6.4, (134),1h 25m,horror
Last Night at Terrace Lanes,4.4, (655),1h 15m,horror
Horror in the High Desert 3: Firewatch,5.4, (768),1h 28m,horror
Kuyang,5.2, (497),1h 37m,horror
Pusaka,5.2, (198),1h 30m,horror
Camp Pleasant Lake,3.3, (2.4K),1h 30m,horror
Jhamkudi,6.6, (999),2h 31m,horror
Festival of the Living Dead,4.3, (672),1h 28m,horror
Bag of Lies,3.8, (598),1h 36m,horror
A Wedding Story,6.0, (2.8K),1h 50m,horror
Do You See What I See,5.4, (701),1h 49m,horror
Are You There?,6.3, (69),1h 28m,horror
Life of Belle,5.0, (692),1h 13m,horror
Ghost Island,7.2, (56),1h 35m,horror
Darling,5.2, (757),2h 39m,horror
Curse of the Naked Ghost Hunters,5.1, (24),35m,horror
The Monster Beneath Us,5.5, (460),1h 43m,horror
Pater Noster and the Mission of Light,7.2, (144),1h 36m,horror
Guna guna istri muda,5.1, (203),1h 38m,horror
Haunted Universities 3,5.4, (324),1h 59m,horror
Buzz House: The Movie,3.2, (1.3K),1h 33m,horror
Monster Awakens,5.8, (837),1h 14m,horror
Perewangan,5.4, (181),1h 49m,horror
Vertical,5.2, (148),1h 51m,horror
Love Me If You Dare,4.3, (483),2h 8m,horror
Nokturno,3.7, (232),1h 39m,horror
Pale Horse,3.7, (78),1h 27m,horror
A Herança,5.3, (243),1h 20m,horror
Virgo,5.5, (96),1h 27m,horror
Monster Mash,3.5, (456),1h 25m,horror
Till Death Do Us Part,6.3, (283),1h 48m,horror
Séance Games: Metaxu,3.2, (235),1h 26m,horror
Z Zone,3.8, (56),1h 23m,horror
Suckers,2.4, (131),1h 7m,horror
The Family Business,8.7, (29),1h 29m,horror
Thine Ears Shall Bleed,6.2, (1.1K),1h 42m,horror
Nyctophobia,6.8, (1.8K),1h 30m,horror
My Boo,6.1, (734),2h 5m,horror
Guardian,4.0, (675),2h,horror
The Devil's Disciples,8.7, (42),1h 22m,horror
Down Below,2.6, (205),1h 33m,horror
Wineville,4.3, (283),1h 40m,horror
La Patasola,2.6, (94),1h 32m,horror
The Bad Nun 3,3.2, (281),1h 12m,horror
Phallacies,8.2, (6),1h 41m,horror
Another Cabin in the Woods Movie,4.7, (233),1h 17m,horror
Tide,3.4, (128),1h 22m,horror
Yagna,5.7, (1.5K),2h 11m,horror
The Ghost,6.3, (129),1h 32m,horror
Clickbait: Unfollowed,4.9, (603),1h 30m,horror
Don't Open the Door,6.6, (8.4K),1h 27m,horror
Within the Pines,6.3, (20),1h 13m,horror
Invited,5.3, (249),1h 11m,horror
Air Fryer Slaughter,6.3, (565),1h 30m,horror
Scared Shitless,6.1, (228),1h 16m,horror
Hide and Seek,4.8, (159),1h 24m,horror
Deadly Retreat,4.9, (110),46m,horror
A Fisherman's Tale,6.0, (145),1h 43m,horror
Drained,4.5, (327),1h 47m,horror
Horny Teenagers Must Die!,3.2, (247),1h 24m,horror
The Book of the Witch,4.4, (138),1h 13m,horror
Scared to Death,6.6, (34),1h 38m,horror
Mananambal,6.1, (36),1h 40m,horror
Framed,2.6, (122),Not Rated,horror
Do Not Open,2.6, (283),1h 31m,horror
Good Neighbours,3.0, (190),1h 24m,horror
The Camp Host,4.3, (300),1h 35m,horror
Tsunami Sharks,2.8, (98),1h 10m,horror
House of Ashes,6.7, (43),1h 35m,horror
Creep Encounters,4.1, (131),1h 12m,horror
American Werewolf,1.6, (122),1h 7m,horror
Pasar Setan,6.7, (62),1h 36m,horror
Alyad Palyad,6.8, (1.2K),2h 9m,horror
Tenants,4.3, (127),1h 34m,horror
Nearing Death,5.6, (367),1h 36m,horror
Temurun,4.6, (358),1h 26m,horror
The Sin,5.3, (360),1h 43m,horror
