Movie_name,Rating,Votes,Duration,genre
They Call Her Death,5.4, (210),1h 32m,action
Naa Saami Ranga,4.5, (1.2K),2h 30m,action
12 to Midnight,3.6, (300),1h 36m,action
Rendel: Cycle of Revenge,3.6, (254),1h 39m,action
Arena Wars,5.2, (2.8K),1h 36m,action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2, (673),2h 54m,action
"Love, Courage and the Battle of Bushy Run",5.0, (195),1h 53m,action
Crakk: Jeetega... Toh Jiyegaa,4.7, (6.5K),2h 34m,action
Cassino in Ischia,4.4, (268),1h 53m,action
Sheriff,6.9, (1.2K),2h 13m,action
Roadkill,3.7, (696),1h 30m,action
The Friendly,9.0, (29),1h 41m,action
Thundu,5.0, (925),2h 5m,action
Hellhound,4.3, (530),1h 43m,action
Witch Hunter,4.6, (27),1h 20m,action
Bhaiyya Ji,4.8, (7.4K),2h 30m,action
Ghosts of Red Ridge,3.2, (182),1h 21m,action
Mechanic Rocky,6.4, (3.5K),2h 36m,action
Sucha Soorma,6.4, (957),2h 16m,action
Deaner '89,5.9, (461),1h 30m,action
Exorcism Chronicles: The Beginning,6.4, (134),1h 25m,action
Bangkok Breaking: Heaven and Hell,5.8, (702),2h 26m,action
American Warrior,8.5, (25),1h 29m,action
Kahar: Kapla High Council,7.1, (511),1h 42m,action
Pusaka,5.2, (198),1h 30m,action
Ruslaan,3.3, (1.3K),2h,action
Ajay Gadu,6.3, (1.4K),1h 48m,action
Taken from Rio Bravo,3.0, (330),1h 20m,action
Hotspring Sharkattack,6.0, (43),1h 10m,action
Road Wars: Max Fury,2.0, (369),1h 23m,action
E-mail,5.3, (808),1h 59m,action
Gatao: Like Father Like Son,5.7, (262),2h 11m,action
Zebra,7.2, (3.2K),2h 44m,action
Barroz: Guardian of Treasures,3.4, (1.1K),2h 35m,action
El Duro,4.7, (17),1h 30m,action
The Traveller,5.2, (215),2h 14m,action
Dirty Money,5.6, (198),1h 40m,action
Pottel,8.0, (2.8K),2h 28m,action
Conquer: Lahad Datu,6.6, (549),2h,action
12 Gaun,6.6, (962),2h 27m,action
The Mick and the Trick,4.8, (84),1h 36m,action
The Wolf,3.5, (40),1h 27m,action
Clone Cops,5.8, (327),1h 36m,action
Mahadev Ka Gorakhpur,7.4, (406),2h 11m,action
Snatched,6.0, (534),1h 41m,action
Mazhai Pidikatha Manithan,4.5, (429),2h 13m,action
Bheema,5.7, (974),2h 28m,action
Hunting with Tigers,5.6, (564),1h 49m,action
Lady Scorpions,3.6, (377),1h 41m,action
Hitler,5.2, (316),2h 8m,action
Viswam,4.2, (655),2h 35m,action
Bloody Beggar,6.2, (4.4K),2h 14m,action
Warning 2,7.1, (902),2h 5m,action
Ugravatara,8.4, (853),2h 2m,action
The Last Ronin,4.9, (597),1h 55m,action
Saindhav,5.0, (1.6K),2h 18m,action
Stranded Pearl,5.7, (29),1h 30m,action
Non Negotiable,5.4, (1.2K),1h 27m,action
Bhimaa,5.1, (1.2K),2h 21m,action
Pimpinero: Blood and Oil,5.6, (579),2h 1m,action
School of Magical Animals 3,5.7, (355),1h 45m,action
Top Floor,5.9, (62),1h 14m,action
Lorry Chapter-1,6.2, (2.8K),3h 3m,action
The Lost Tiger,7.4, (58),1h 30m,action
Citizen of a Kind,6.6, (915),1h 54m,action
Blade of Fury,6.2, (141),1h 30m,action
The Firefighters,5.7, (258),1h 46m,action
Inanimate Insanity II: The Movie,8.2, (249),1h 46m,action
Bull Shark 2,2.8, (213),1h 15m,action
6 Hours Away,4.0, (257),1h 33m,action
The Plot,4.8, (405),1h 40m,action
Chaari 111,4.8, (269),2h 10m,action
Drive,5.6, (365),1h 30m,action
Framed,2.6, (122),Not Rated,action
Echo 8,6.0, (1.3K),1h 35m,action
Gangs of Godavari,4.9, (920),2h 45m,action
Dange,5.3, (808),2h 34m,action
WWII: Operation Phoenix,5.7, (101),1h 46m,action
Agents,3.3, (952),1h 22m,action
Shark Island,3.1, (131),1h 21m,action
The Last of Us: Immunity,4.4, (31),1h 4m,action
