Movie_name,Rating,Votes,Duration,genre
Lilla spöket Laban spökar igen,6.2, (30),44m,animation
Astra,6.8, (8),1h 20m,animation
Luv You Shankar,5.8, (45),2h,animation
Mustafa,6.9, (77),1h 15m,animation
Day of the Diesels,6.1, (12),1h 40m,animation
Arne Alligator och djungelkompisarna,4.7, (51),1h 1m,animation
Abá e Sua Banda,7.1, (15),1h 24m,animation
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4, (76),1h 10m,animation
Le parfum d'Irak,8.0, (52),1h 35m,animation
Max Beyond,6.6, (18),1h 33m,animation
"Hey, Tete",6.4, (9),2h 31m,animation
Nothing Unusual,8.8, (13),1h 32m,animation
Tri bogatyrya. Ni dnya bez podviga,5.7, (83),1h 1m,animation
Ugly Sweater,7.1, (13),1h 20m,animation
Dinonauts,6.7, (7),1h 17m,animation
Tri kota. Zimnie kanikuly,6.5, (36),1h 5m,animation
Bob a Bobek ve filmu: Na stope Mrkvojeda,7.1, (33),1h 20m,animation
Iris the Movie: Full Energy!!,7.3, (9),1h,animation
Rhythm of a Flower,7.3, (15),1h 21m,animation
Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,7.4, (15),59m,animation
Gintama the Movie 2D: Courtesan of the Nation Arc,8.0, (9),1h 49m,animation
The Delegator,4.1, (17),1h 36m,animation
Ivan Tsarevich i Seryy Volk 6,5.3, (106),1h 25m,animation
Gujeyeog-eseo sal-a dol-aon dwaeji,5.0, (15),1h 45m,animation
Animal Adventures: Save the Forest,7.7, (34),1h 25m,animation
Zuzubalândia: O Filme,6.0, (12),1h,animation
LUDA,7.2, (6),1h 26m,animation
Ninja Doomscrolling,8.1, (102),1h 36m,animation
Ekip: Siberay - Günes Firtinasi,6.0, (14),1h 12m,animation
Young doctor's notes,3.5, (7),1h 26m,animation
Velký Pán,6.8, (10),1h 13m,animation
Skazochnyy patrul. Shou prodolzhayetsya,7.2, (11),1h 5m,animation
The Car Acrobatic Team Saga,7.2, (12),1h 52m,animation
Turbozavry. God drakona,9.0, (44),48m,animation
Sirds likums,6.7, (18),1h 5m,animation
2475 Dawn of Revolution,6.3, (153),2h 7m,animation
Nasreddin Hoca: Zaman Yolcusu - Kadim Medeniyetler,7.7, (12),1h 18m,animation
Let's Go! Anpanman: Baikinman and Lulun,6.5, (8),1h 4m,animation
Bie ba zuo wen dang hui shi er,7.2, (12),1h 29m,animation
